,Threshold,TP,FP,TN,FN,Sn,Sp,Precision,FPR,Acc
0,-4.0,2079,145984,2737641,0,1.0,0.9493748320256622,0.014041320248813,0.0506251679743378,0.9494113048323736
1,-3.5,2079,141873,2741752,0,1.0,0.9508004681607352,0.0144423141047015,0.0491995318392648,0.950835913870584
2,-3.0,2079,136033,2747592,0,1.0,0.9528256968225758,0.015053000463392,0.0471743031774242,0.9528596834602578
3,-2.5,2078,126295,2757330,1,0.9995189995189996,0.956202696259049,0.0161872044744611,0.043797303740951,0.9562339034079724
4,-2.0,2078,116543,2767082,1,0.9995189995189996,0.9595845506957388,0.0175179774238962,0.0404154493042611,0.9596133213940168
5,-1.5,2078,106313,2777312,1,0.9995189995189996,0.9631321687112576,0.0191713334132907,0.0368678312887424,0.9631583835348324
6,-1.0,2077,95651,2787974,2,0.9990379990379992,0.9668295981620356,0.0212528650949574,0.0331704018379643,0.966852802643653
7,-0.5,2077,85901,2797724,2,0.9990379990379992,0.970210759027266,0.0236081747709654,0.0297892409727339,0.97023152755792
8,0.0,2076,74755,2808870,3,0.9985569985569984,0.9740760327712514,0.0270203433509911,0.0259239672287485,0.9740936700368436
9,0.5,2075,63086,2820539,4,0.998075998075998,0.9781226754519052,0.0318442012860453,0.0218773245480948,0.9781370507855276
10,1.0,2071,51156,2832469,8,0.996151996151996,0.982259829208028,0.0389088244687846,0.0177401707919718,0.9822698377934812
11,1.5,2067,40031,2843594,12,0.9942279942279942,0.9861178204516884,0.0490997197016485,0.0138821795483116,0.9861236634110776
12,2.0,2058,29109,2854516,21,0.98989898989899,0.989905414192206,0.0660313793435364,0.0100945858077939,0.989905409563836
13,2.5,2044,21434,2862191,35,0.9831649831649832,0.9925669946681694,0.0870602265951103,0.0074330053318305,0.9925602210067284
14,3.0,1998,15499,2868126,81,0.961038961038961,0.994625167974338,0.1141910041721438,0.0053748320256621,0.9946009708549456
15,3.5,1953,11127,2872498,126,0.9393939393939394,0.99614131518488,0.1493119266055045,0.0038586848151198,0.9961004316451028
16,4.0,1885,8080,2875545,194,0.9066859066859068,0.9971979713034808,0.1891620672353236,0.0028020286965191,0.9971327620573696
17,4.5,1719,4880,2878745,360,0.8268398268398268,0.998307685638736,0.2604940142445825,0.001692314361264,0.9981841519435118
18,5.0,1487,2986,2880639,592,0.7152477152477152,0.9989644978109152,0.3324390789179521,0.0010355021890848,0.998760094590436
19,5.5,1299,1759,2881866,780,0.6248196248196248,0.9993900039013396,0.4247874427730543,0.0006099960986605,0.999120145378736
20,6.0,974,946,2882679,1105,0.4684944684944685,0.9996719406996402,0.5072916666666667,0.0003280593003598,0.9992892548923936
21,6.5,794,680,2882945,1285,0.3819143819143819,0.9997641857037582,0.5386702849389416,0.0002358142962417,0.999319056978817
22,7.0,555,368,2883257,1524,0.2669552669552669,0.9998723828514456,0.6013001083423619,0.0001276171485543,0.9993443540986878
23,7.5,277,125,2883500,1802,0.1332371332371332,0.9999566517837792,0.6890547263681592,4.334821622087315e-05,0.9993322253425854
24,8.0,139,72,2883553,1940,0.0668590668590668,0.9999750314274568,0.6587677725118484,2.4968572543193623e-05,0.9993027697920508
25,8.5,55,40,2883585,2024,0.0264550264550264,0.9999861285708092,0.5789473684210527,1.387142919073714e-05,0.9992847499258412
26,9.0,0,0,2883625,2079,0.0,1.0,,0.0,0.9992795518875116
27,9.5,0,0,2883625,2079,0.0,1.0,,0.0,0.9992795518875116
