Threshold,TP,FP,TN,FN,Sn,Sp,Precision,FPR
-4.0,2079,145984,2737641,0,1.0,0.9493748320256622,0.014041320248813004,0.050625167974337804
-3.5,2079,141873,2741752,0,1.0,0.9508004681607352,0.014442314104701566,0.04919953183926484
-3.0,2079,136033,2747592,0,1.0,0.9528256968225758,0.01505300046339203,0.047174303177424215
-2.5,2078,126295,2757330,1,0.9995189995189995,0.956202696259049,0.01618720447446114,0.04379730374095103
-2.0,2078,116543,2767082,1,0.9995189995189995,0.9595845506957389,0.017517977423896276,0.04041544930426111
-1.5,2078,106313,2777312,1,0.9995189995189995,0.9631321687112575,0.019171333413290772,0.03686783128874249
-1.0,2077,95651,2787974,2,0.9990379990379991,0.9668295981620356,0.021252865094957434,0.03317040183796438
-0.5,2077,85901,2797724,2,0.9990379990379991,0.9702107590272661,0.023608174770965468,0.029789240972733944
0.0,2076,74755,2808870,3,0.9985569985569985,0.9740760327712514,0.027020343350991138,0.025923967228748568
0.5,2075,63086,2820539,4,0.9980759980759981,0.9781226754519051,0.031844201286045336,0.02187732454809488
1.0,2071,51156,2832469,8,0.9961519961519961,0.9822598292080281,0.03890882446878464,0.017740170791971877
1.5,2067,40031,2843594,12,0.9942279942279942,0.9861178204516884,0.04909971970164853,0.013882179548311613
2.0,2058,29109,2854516,21,0.98989898989899,0.989905414192206,0.06603137934353644,0.010094585807793988
2.5,2044,21434,2862191,35,0.9831649831649831,0.9925669946681694,0.08706022659511031,0.0074330053318305556
3.0,1998,15499,2868126,81,0.961038961038961,0.9946251679743379,0.1141910041721438,0.005374832025662135
3.5,1953,11127,2872498,126,0.9393939393939394,0.9961413151848801,0.14931192660550457,0.0038586848151198616
4.0,1885,8080,2875545,194,0.9066859066859067,0.9971979713034809,0.18916206723532364,0.002802028696519132
4.5,1719,4880,2878745,360,0.8268398268398268,0.998307685638736,0.2604940142445825,0.0016923143612640468
5.0,1487,2986,2880639,592,0.7152477152477152,0.9989644978109151,0.33243907891795216,0.0010355021890848803
5.5,1299,1759,2881866,780,0.6248196248196248,0.9993900039013395,0.4247874427730543,0.0006099960986605257
6.0,974,946,2882679,1105,0.4684944684944685,0.9996719406996402,0.5072916666666667,0.00032805930035983977
6.5,794,680,2882945,1285,0.38191438191438193,0.9997641857037582,0.5386702849389416,0.0002358142962417542
7.0,555,368,2883257,1524,0.26695526695526695,0.9998723828514456,0.6013001083423619,0.0001276171485543598
7.5,277,125,2883500,1802,0.13323713323713324,0.9999566517837791,0.6890547263681592,4.334821622087315e-05
8.0,139,72,2883553,1940,0.06685906685906685,0.9999750314274568,0.6587677725118484,2.4968572543193623e-05
8.5,55,40,2883585,2024,0.026455026455026454,0.9999861285708093,0.5789473684210527,1.3871429190737139e-05
9.0,0,0,2883625,2079,0.0,1.0,1.0,0.0
9.5,0,0,2883625,2079,0.0,1.0,1.0,0.0
10.0,0,0,2883625,2079,0.0,1.0,1.0,0.0
